road_key,hour,month,is_night,is_rush_hour,is_weekend,at_intersection_binary,school_zone_binary,work_zone_binary,weather_encoded,light_encoded,surface_encoded,historical_crash_rate,ADT,congestion_risk
1900 VIRGINIA BEACH BL,16,10,0,1,0,1.0,0,0,0.0,0.0,0.0,5,30000.0,1
4500 VIRGINIA BEACH BL,17,9,0,1,0,1.0,0,0,0.0,0.0,0.0,10,30000.0,1
4400 VIRGINIA BEACH BL,14,10,0,0,0,1.0,1,0,0.0,0.0,0.0,8,30000.0,1
1300 SANDBRIDGE ROAD,20,9,1,0,1,0.0,0,0,0.0,3.0,0.0,1,13000.0,0
300 KELLAM RD,12,9,0,0,0,0.0,0,0,0.0,0.0,0.0,4,3500.0,0
500 LYNNHAVEN PKWY,17,6,0,1,0,0.0,0,0,0.0,0.0,0.0,1,46000.0,2
VIRGINIA BEACH BL,8,10,0,1,0,0.0,0,0,0.0,0.0,0.0,57,30000.0,1
5500 BLACKWATER RD,19,9,0,0,0,1.0,0,0,1.0,3.0,1.0,1,2900.0,0
5900 WESLEYAN DR,13,10,0,0,0,1.0,0,0,0.0,0.0,0.0,2,20000.0,1
ROSEMONT RD N,10,10,0,0,0,1.0,0,0,0.0,0.0,0.0,2,30000.0,1
4470 BONNEY RD,19,9,0,0,1,0.0,0,0,0.0,0.0,0.0,1,12000.0,0
2500 PRINCESS ANNE RD,14,8,0,0,0,1.0,0,0,0.0,0.0,0.0,2,20000.0,1
2100 LANDSTOWN RD,7,10,0,1,0,1.0,0,0,0.0,0.0,0.0,1,39000.0,2
3173 HOLLAND RD,12,10,0,0,0,0.0,0,0,0.0,0.0,0.0,1,36000.0,1
900 DIAMOND SPRINGS RD,16,10,0,1,0,1.0,0,0,0.0,0.0,0.0,6,22000.0,1
4500 COLUMBUS ST,20,10,1,0,0,1.0,0,0,0.0,2.0,0.0,1,15000.0,0
3600 BONNEY RD,17,9,0,1,0,0.0,0,0,0.0,0.0,0.0,2,12000.0,0
2700 BLOCK MAGIC HOLLOW BLVD,18,10,0,1,0,1.0,0,0,0.0,0.0,0.0,1,1200.0,0
INDEPENDENCE BL S,4,6,1,0,1,1.0,0,0,0.0,2.0,0.0,12,7900.0,0
INDIAN RIVER RD,22,9,1,0,1,0.0,0,0,0.0,3.0,0.0,28,71000.0,2
LYNNHAVEN PW,18,9,0,1,0,0.0,0,0,2.0,1.0,1.0,32,46000.0,2
LONDON BRIDGE RD,14,10,0,0,0,0.0,0,0,0.0,0.0,0.0,20,33000.0,1
500 PACIFIC AV,11,10,0,0,1,1.0,0,0,0.0,0.0,0.0,1,17000.0,1
3800 PRINCESS ANNE RD,12,10,0,0,1,1.0,0,0,0.0,0.0,1.0,5,20000.0,1
WESLEYAN DR,11,10,0,0,1,0.0,0,0,2.0,0.0,1.0,3,20000.0,1
JEANNE ST,18,10,0,1,0,1.0,0,0,0.0,2.0,0.0,2,11000.0,0
1700 BLOCK LONDON BRIDGE RD,16,10,0,1,0,1.0,0,0,0.0,0.0,0.0,1,33000.0,1
100 WITCHDUCK RD S,23,9,1,0,1,0.0,1,0,0.0,2.0,0.0,7,5100.0,0
600 BLOCK PHOENIX DRIVE,17,10,0,1,0,1.0,0,0,0.0,0.0,0.0,2,20000.0,1
3600 LANDSTOWN RD,15,10,0,0,1,0.0,0,0,2.0,0.0,1.0,1,39000.0,2
2230 SALEM ROAD,17,10,0,1,0,0.0,0,0,0.0,1.0,0.0,1,15000.0,0
NIMMO PW,11,10,0,0,0,1.0,0,0,0.0,0.0,0.0,6,46000.0,2
1400 GENERAL BOOTH BL,13,9,0,0,0,1.0,0,0,0.0,0.0,0.0,2,46000.0,2
5500 WESLEYAN DR,21,10,1,0,1,0.0,0,0,0.0,2.0,0.0,6,20000.0,1
733 HOLLADAY LA,20,10,1,0,0,0.0,0,0,0.0,3.0,0.0,1,1600.0,0
5500 LYNNHAVEN PKWY,20,10,1,0,0,1.0,0,0,0.0,2.0,0.0,1,46000.0,2
800 INDEPENDENCE BL,16,10,0,1,0,1.0,0,0,0.0,0.0,0.0,5,73000.0,2
5000 FERRELL PKWY,21,10,1,0,0,1.0,0,0,0.0,2.0,0.0,2,43000.0,2
WEYBRIDGE DR,16,10,0,1,0,1.0,0,0,0.0,0.0,0.0,1,5000.0,0
4500 PLEASANT VALLEY RD,15,9,0,0,0,1.0,0,0,2.0,0.0,1.0,2,4100.0,0
3600 HOLLAND RD,16,9,0,1,0,1.0,0,0,2.0,0.0,1.0,10,36000.0,1
1700 KEMPSVILLE RD,16,10,0,1,0,1.0,0,0,0.0,0.0,0.0,6,39000.0,2
SOUTH EAST MALL,16,9,0,1,0,1.0,0,0,0.0,0.0,0.0,1,4000.0,0
1900 LYNNHAVEN PKWY,18,10,0,1,0,0.0,0,0,0.0,2.0,0.0,2,46000.0,2
900 CENTERVILLE TP,23,10,1,0,0,1.0,0,0,0.0,2.0,0.0,3,19000.0,1
1700 VIRGINIA BEACH BL,12,10,0,0,0,1.0,0,0,0.0,0.0,0.0,10,30000.0,1
5600 INDIAN RIVER RD,17,10,0,1,0,0.0,0,0,0.0,0.0,0.0,12,71000.0,2
5400 PRINCESS ANNE RD,15,10,0,0,0,0.0,0,0,0.0,0.0,0.0,1,20000.0,1
6000 INDIAN RIVER RD,17,10,0,1,0,0.0,0,0,0.0,0.0,0.0,8,71000.0,2
2217 GREAT NECK RD W,12,10,0,0,1,1.0,0,0,0.0,0.0,0.0,1,39000.0,2
6500 INDIAN RIVER RD,13,10,0,0,0,1.0,0,0,0.0,0.0,0.0,4,71000.0,2
400 FIRST COLONIAL RD,18,10,0,1,0,1.0,0,0,0.0,0.0,0.0,3,36000.0,1
600 24TH ST,16,10,0,1,0,1.0,0,0,0.0,0.0,0.0,1,2900.0,0
SHORE DR,17,10,0,1,0,1.0,0,0,0.0,0.0,0.0,28,9600.0,0
GREAT NECK RD N,18,8,0,1,0,1.0,0,0,0.0,0.0,0.0,26,39000.0,2
1300 OCEANA BLVD,16,9,0,1,0,0.0,0,0,2.0,0.0,1.0,2,30000.0,1
1500BLK DAHLIA DR,18,10,0,1,0,1.0,0,0,0.0,2.0,0.0,1,6200.0,0
600 ARAGONA BLVD,18,9,0,1,1,1.0,0,0,0.0,0.0,0.0,3,5300.0,0
5300 PRINCESS ANNE RD,19,8,0,0,0,1.0,0,0,0.0,1.0,0.0,4,20000.0,1
3600 VIRGINIA BEACH BLVD,17,9,0,1,0,1.0,0,0,0.0,0.0,0.0,2,30000.0,1
5500 INDIAN RIVER RD,8,9,0,1,0,0.0,0,0,0.0,0.0,0.0,9,71000.0,2
800 ROSEMONT RD S,8,9,0,1,0,1.0,0,0,0.0,0.0,0.0,5,30000.0,1
1200 FORDHAM DR,10,9,0,0,0,1.0,0,0,0.0,0.0,0.0,1,9400.0,0
1500 BLK VIRGINIA BEACH BLVD,0,9,1,0,0,1.0,0,0,0.0,3.0,0.0,2,73000.0,2
SOUTH INDEPENDENCE BOULEVARD,9,9,0,1,0,1.0,1,0,1.0,0.0,1.0,1,73000.0,2
GENERAL BOOTH BLVD,11,9,0,0,1,0.0,0,0,0.0,0.0,0.0,6,46000.0,2
HONEYGROVE RD,12,9,0,0,0,1.0,1,0,0.0,0.0,0.0,1,1000.0,0
1100 OCEANA BL,13,9,0,0,0,1.0,0,0,2.0,0.0,1.0,2,30000.0,1
300 LITTLE NECK RD,7,9,0,1,0,0.0,0,0,2.0,1.0,1.0,2,16000.0,0
OLD CULTER RD,14,9,0,0,0,1.0,0,0,0.0,0.0,0.0,1,15000.0,0
600 NEWTOWN RD,20,9,1,0,0,1.0,0,0,0.0,2.0,0.0,7,39000.0,2
INDEPENDENCE BL,8,9,0,1,0,1.0,0,0,0.0,0.0,0.0,26,73000.0,2
1300 BLOCK OCEANA BLVD,17,8,0,1,0,1.0,0,0,0.0,0.0,0.0,1,30000.0,1
800 MILITARY HW S,0,9,1,0,1,1.0,0,0,0.0,2.0,0.0,4,11000.0,0
900 FIRST COLONIAL ROAD,16,9,0,1,0,1.0,0,0,0.0,0.0,0.0,1,36000.0,1
2100 GENERAL BOOTH BLVD,15,9,0,0,0,1.0,0,0,0.0,0.0,0.0,2,46000.0,2
OLD DAMN NECK RD,23,9,1,0,0,1.0,0,0,0.0,2.0,0.0,1,39000.0,2
5549 VIRGINIA BEACH BL,12,9,0,0,0,0.0,0,0,0.0,0.0,0.0,1,30000.0,1
VIRGINIA BEACH BL,8,9,0,1,0,1.0,0,0,0.0,0.0,0.0,57,30000.0,1
1100 DAM NECK RD,11,9,0,0,0,1.0,0,0,1.0,0.0,0.0,7,36000.0,1
1224 E BAY SHORE DR,17,9,0,1,0,0.0,0,0,1.0,0.0,1.0,1,20000.0,1
5000 LYNNHAVEN PW,22,9,1,0,0,1.0,0,0,0.0,2.0,0.0,10,46000.0,2
62 ND ST,19,9,0,0,1,1.0,0,0,0.0,2.0,0.0,1,9600.0,0
1489 ROUND HILL DR,1,9,1,0,1,0.0,0,0,2.0,2.0,1.0,1,20000.0,1
PRINCESS ANNE RD,7,10,0,1,1,0.0,0,0,0.0,0.0,0.0,42,20000.0,1
3500 PRINCESS ANNE RD,14,9,0,0,0,0.0,0,0,0.0,0.0,0.0,6,20000.0,1
3505 BOYD RD,6,9,0,0,1,0.0,0,0,0.0,1.0,0.0,1,22000.0,1
1600 LONDON BRIDGE RD,19,9,0,0,0,0.0,0,0,0.0,2.0,0.0,1,33000.0,1
2900 SABRE ST,9,7,0,1,0,0.0,0,0,0.0,0.0,0.0,2,16000.0,0
SABRE ST,13,5,0,0,0,1.0,0,0,0.0,0.0,0.0,4,9600.0,0
1900 CONCERT DR,7,9,0,1,0,1.0,1,0,0.0,0.0,0.0,1,9400.0,0
2500 LYNNHAVEN PW,15,10,0,0,0,1.0,0,0,0.0,0.0,0.0,3,46000.0,2
1400 KEMPSVILLE RD,18,10,0,1,0,1.0,0,0,0.0,1.0,0.0,11,39000.0,2
4337 ELBOW RD,16,9,0,1,0,0.0,0,0,2.0,0.0,1.0,1,12000.0,0
900 REON DR,16,9,0,1,0,0.0,0,0,0.0,0.0,0.0,1,3200.0,0
3300 HOLLAND RD,14,10,0,0,0,0.0,0,0,0.0,0.0,0.0,8,36000.0,1
2100 UPTON DR,20,9,1,0,0,1.0,0,0,0.0,2.0,0.0,3,5000.0,0
5347 INDIAN RIVER RD,19,10,0,0,1,0.0,0,0,0.0,2.0,0.0,1,71000.0,2
6100 PROVIDENCE RD,19,9,0,0,0,1.0,0,0,1.0,2.0,0.0,2,17000.0,1
5000 FERRELL PW,19,9,0,0,0,1.0,0,0,0.0,2.0,0.0,23,43000.0,2
4900 PRINCESS ANNE RD,15,9,0,0,0,1.0,0,0,0.0,0.0,0.0,17,20000.0,1
3600 HOLLAND RD,19,9,0,0,0,1.0,0,0,2.0,2.0,1.0,10,36000.0,1
HOLLAND RD,16,9,0,1,0,1.0,0,0,1.0,0.0,0.0,23,36000.0,1
PRESIDENTAL BLVD,18,9,0,1,0,1.0,0,0,2.0,1.0,1.0,1,30000.0,1
900 BLOCK OF S LYNNHAVEN ROAD,18,9,0,1,0,1.0,0,0,0.0,0.0,0.0,1,71000.0,2
3500 BLOCK OF BUCKNER BOULEVARD,16,9,0,1,0,0.0,0,0,2.0,0.0,1.0,2,73000.0,2
SOUTH LYNNHAVEN ROAD,18,9,0,1,0,1.0,0,0,2.0,2.0,1.0,2,14000.0,0
DAM NECK RD,15,10,0,0,0,0.0,0,0,0.0,0.0,0.0,23,36000.0,1
3761 SEABOARD RD,22,9,1,0,1,0.0,0,0,0.0,3.0,0.0,1,39000.0,2
PRINCESS ANNE RD,2,9,1,0,0,0.0,0,0,0.0,2.0,0.0,42,20000.0,1
800 E BL,11,9,0,0,0,0.0,0,0,0.0,0.0,0.0,1,73000.0,2
NORTHAMPTON BL,12,9,0,0,0,0.0,0,0,0.0,0.0,0.0,23,30000.0,1
432 KELLAM RD,6,9,0,0,0,0.0,0,0,0.0,1.0,0.0,1,3500.0,0
VIRGINIA BEACH BL,10,9,0,0,0,1.0,0,0,0.0,0.0,0.0,57,30000.0,1
600 LITTLE NECK RD,14,9,0,0,0,0.0,0,0,0.0,0.0,0.0,1,16000.0,0
800 DIAMOND SPRINGS RD,7,10,0,1,0,1.0,0,0,0.0,0.0,0.0,7,22000.0,1
LITTLE NECK RD,14,9,0,0,0,1.0,0,0,0.0,0.0,0.0,6,16000.0,0
BUCKNER BLVD,17,9,0,1,1,1.0,0,0,0.0,0.0,0.0,2,73000.0,2
4700 WITCHDUCK RD,18,10,0,1,0,1.0,0,0,0.0,1.0,0.0,2,5100.0,0
1000 INDEPENDENCE,16,10,0,1,0,0.0,1,0,0.0,0.0,0.0,2,73000.0,2
300 S ROSEMONT RD,18,8,0,1,0,1.0,0,0,0.0,0.0,0.0,1,30000.0,1
800 BLOCK LYNNHAVEN PARKWAY,19,9,0,0,0,1.0,0,0,0.0,2.0,0.0,2,46000.0,2
145 LONDON BRIDGE RD,18,10,0,1,1,0.0,0,0,0.0,1.0,0.0,2,33000.0,1
INDEPENDENCE BL,18,10,0,1,0,0.0,0,0,0.0,0.0,0.0,26,73000.0,2
VIRGINIA BEACH BLVD,7,10,0,1,0,1.0,0,0,0.0,0.0,0.0,21,30000.0,1
3700 OLD FORGE ROAD,17,10,0,1,0,1.0,0,0,0.0,0.0,0.0,1,1200.0,0
5100 INDIAN RIVER RD,17,10,0,1,0,0.0,0,0,0.0,0.0,0.0,9,71000.0,2
1600 LYNNHAVEN PKWY,15,10,0,0,1,1.0,0,0,2.0,0.0,1.0,1,46000.0,2
100 INDEPENDENCE BL S,14,10,0,0,0,0.0,0,0,0.0,0.0,0.0,13,73000.0,2
1700 PLEASURE HOUSE RD,20,10,1,0,0,1.0,0,0,0.0,2.0,0.0,2,16000.0,0
600 LAKE EDWARDS DR,16,10,0,1,0,0.0,0,0,0.0,0.0,0.0,1,20000.0,1
5400 NORTHAMPTON BL,18,10,0,1,0,1.0,0,0,0.0,0.0,0.0,2,30000.0,1
5700 SHORE DR,18,10,0,1,0,1.0,0,0,0.0,1.0,0.0,4,5000.0,0
5700 NORTHAMPTON BL,15,10,0,0,0,1.0,0,0,0.0,0.0,0.0,15,30000.0,1
3300 BUCKNER BL,22,10,1,0,0,1.0,0,0,0.0,2.0,0.0,1,30000.0,1
4700 BAXTER RD,9,10,0,1,1,1.0,0,0,0.0,0.0,0.0,12,19000.0,1
1300 PRINCESS ANNE RD,14,10,0,0,0,1.0,0,0,0.0,0.0,0.0,1,20000.0,1
5000 FERRELL PW,23,9,1,0,0,1.0,0,0,2.0,2.0,1.0,23,43000.0,2
5300 INDIAN RIVER RD,10,10,0,0,0,0.0,0,0,0.0,0.0,0.0,13,71000.0,2
5000 LYNNHAVEN PW,7,8,0,1,0,1.0,0,0,0.0,0.0,0.0,10,46000.0,2
400 INDEPENDENCE BLV S,12,10,0,0,0,1.0,0,0,0.0,0.0,0.0,1,7900.0,0
1300 INDEPENDECE BLVD S,12,10,0,0,0,1.0,0,0,0.0,0.0,0.0,1,30000.0,1
5600 INDIAN RIVER RD,12,10,0,0,1,0.0,0,0,0.0,0.0,0.0,12,71000.0,2
1340 KEMPSVILLE RD,14,10,0,0,0,0.0,0,0,0.0,0.0,0.0,1,39000.0,2
4100 PLAZA TRL S,13,10,0,0,0,1.0,0,0,0.0,0.0,0.0,3,11000.0,0
5300 INDIAN RIVER RD,12,10,0,0,0,1.0,0,0,0.0,0.0,0.0,13,71000.0,2
2800 DAM NECK RD,14,10,0,0,0,0.0,0,0,0.0,0.0,0.0,3,36000.0,1
1000 GREAT NECK RD N,10,10,0,0,1,1.0,0,0,2.0,0.0,1.0,10,39000.0,2
VIRGINIA BEACH BL,11,9,0,0,1,1.0,0,0,0.0,0.0,0.0,57,30000.0,1
100 S INDEPENDENCE BLVD,14,10,0,0,1,1.0,0,0,2.0,0.0,1.0,1,73000.0,2
700 LAKE EDWARD DR,23,10,1,0,1,0.0,0,0,2.0,2.0,1.0,1,20000.0,1
1000 S INDEPENDENCE BL,22,10,1,0,1,1.0,0,0,2.0,2.0,1.0,1,73000.0,2
4695 SOUTH BLVD,21,9,1,0,1,1.0,0,0,0.0,2.0,0.0,1,4000.0,0
SHORE DR,21,9,1,0,0,1.0,0,0,0.0,2.0,0.0,28,9600.0,0
1500 LASKIN RD,7,10,0,1,1,1.0,0,0,0.0,1.0,0.0,4,3000.0,0
1457 HARPERS RD,12,10,0,0,0,0.0,0,0,0.0,0.0,0.0,1,5100.0,0
600 LYNNHAVEN PW,12,10,0,0,0,1.0,0,0,0.0,0.0,0.0,10,46000.0,2
BOW CREEK BL,10,10,0,0,1,1.0,0,0,0.0,0.0,0.0,2,5500.0,0
VIRGINIA BEACH BLVD,15,10,0,0,0,1.0,0,0,0.0,0.0,0.0,21,30000.0,1
2300 VIRGINIA BEACH BL,16,10,0,1,0,1.0,0,0,0.0,0.0,0.0,10,30000.0,1
1000 INDEPENDENCE,16,9,0,1,1,0.0,0,0,0.0,0.0,0.0,2,73000.0,2
1855 PRINCESS ANNE RD,20,8,1,0,0,1.0,0,0,0.0,2.0,0.0,1,20000.0,1
3000 LYNNHAVEN RD S,0,10,1,0,1,1.0,0,0,0.0,2.0,0.0,3,14000.0,0
5600 INDIAN RIVER RD,7,10,0,1,0,1.0,0,0,0.0,1.0,0.0,12,71000.0,2
1900 INDEPENDENCE BL S,14,10,0,0,0,1.0,0,0,0.0,0.0,0.0,7,73000.0,2
5350 PROVIDENCE RD,11,10,0,0,1,1.0,0,0,0.0,0.0,0.0,1,17000.0,1
1300 INDEPENDENCE BL,13,10,0,0,0,1.0,0,0,0.0,1.0,0.0,4,73000.0,2
2033 LYNDORA DR,11,10,0,0,0,0.0,0,0,0.0,0.0,0.0,1,9400.0,0
1649 PRINCESS ANNE RD,16,10,0,1,0,1.0,0,0,0.0,0.0,0.0,1,20000.0,1
1241 EAGLEWOOD DR,20,10,1,0,0,0.0,0,0,0.0,2.0,0.0,1,20000.0,1
GENERAL BOOTH BLVD,20,10,1,0,0,1.0,0,0,0.0,2.0,0.0,6,46000.0,2
2300 BLK VIRGINIA BEACH BLVD,16,10,0,1,0,0.0,0,0,0.0,0.0,0.0,1,73000.0,2
200 ROSEMONT RD S,18,10,0,1,0,0.0,0,0,0.0,1.0,0.0,6,30000.0,1
6000 INDIAN RIVER RD,17,9,0,1,0,1.0,0,0,0.0,0.0,0.0,8,71000.0,2
5549 INDIAN RIVER RD,15,10,0,0,0,1.0,0,0,0.0,0.0,0.0,1,71000.0,2
4000 HOLLAND RD,20,10,1,0,0,0.0,0,0,0.0,2.0,0.0,1,36000.0,1
1000 S ROSEMONT RD,22,9,1,0,0,1.0,0,0,0.0,2.0,0.0,1,30000.0,1
2300 LYNNHAVEN PW,15,10,0,0,1,1.0,0,0,0.0,0.0,0.0,2,46000.0,2
5200 BLK LOCKE LN,14,10,0,0,0,0.0,0,0,0.0,0.0,0.0,1,1900.0,0
1100 BLK DAM NECK RD,19,10,0,0,0,0.0,0,0,0.0,2.0,0.0,1,36000.0,1
4300 BLK DAM NECK,15,10,0,0,0,0.0,0,0,0.0,0.0,0.0,1,36000.0,1
4100 PRINCESS ANNE RD,16,10,0,1,0,1.0,0,0,0.0,0.0,0.0,7,20000.0,1
PRINCESS ANNE RD,14,10,0,0,1,1.0,0,0,2.0,0.0,1.0,42,20000.0,1
LASKIN RD,12,10,0,0,0,1.0,0,0,0.0,0.0,0.0,15,3000.0,0
OCEANA BL,6,10,0,0,0,0.0,0,0,0.0,0.0,0.0,3,30000.0,1
1200 FIRST COLONIAL RD,12,10,0,0,0,1.0,0,0,0.0,0.0,0.0,2,36000.0,1
2000 SANDBRIDGE RD,14,10,0,0,1,0.0,0,0,2.0,0.0,1.0,2,13000.0,0
1300 LEVEL GREEN BL,22,10,1,0,0,1.0,0,0,0.0,3.0,0.0,2,1900.0,0
3600 VIRGINIA BEACH BL,8,10,0,1,0,1.0,0,0,0.0,0.0,0.0,11,30000.0,1
300 WITCHDUCK RD N,6,8,0,0,0,1.0,0,0,2.0,1.0,1.0,5,5100.0,0
200 BIRDNECK RD N,17,10,0,1,0,1.0,0,0,0.0,0.0,0.0,2,3900.0,0
S ROSEMONT RD,19,10,0,0,0,1.0,0,0,0.0,2.0,0.0,3,30000.0,1
VIRGINIA BEACH BL,12,9,0,0,0,0.0,0,0,0.0,0.0,0.0,57,30000.0,1
400 INDEPENDENCE BL,13,9,0,0,0,1.0,0,0,0.0,0.0,0.0,5,73000.0,2
VIRGINIA BEACH BL,10,9,0,0,0,1.0,0,0,0.0,0.0,0.0,57,30000.0,1
BAKER RD,7,9,0,1,0,1.0,0,0,2.0,0.0,1.0,5,5000.0,0
NORTHWOOD DR,6,8,0,0,0,1.0,0,0,0.0,0.0,0.0,1,5000.0,0
300 ITCHDUCK RD N,14,9,0,0,0,0.0,0,0,0.0,0.0,0.0,1,39000.0,2
500 KEMPSVILLE RD,14,10,0,0,1,1.0,1,0,2.0,0.0,1.0,7,39000.0,2
1400 GREAT NECK RD N,15,10,0,0,0,1.0,0,0,0.0,0.0,0.0,4,39000.0,2
SOUTH EAST MALL DR,16,9,0,1,0,1.0,0,0,0.0,0.0,0.0,1,20000.0,1
2604 NORTH LANDING ROAD,14,8,0,0,0,0.0,1,0,0.0,1.0,0.0,1,39000.0,2
2200 SEABOARD RD,13,10,0,0,0,1.0,0,1,0.0,0.0,0.0,1,39000.0,2
5700 PRINCESS ANNE RD,11,10,0,0,0,0.0,0,0,0.0,0.0,0.0,6,20000.0,1
1000 N GREAT NECK RD,16,10,0,1,0,1.0,0,0,0.0,0.0,0.0,1,39000.0,2
3800 DAM NECK RD,15,9,0,0,0,1.0,0,0,0.0,0.0,0.0,4,36000.0,1
INDIAN RIVER RD,9,10,0,1,0,1.0,0,0,0.0,0.0,0.0,28,71000.0,2
INDEPENDENCE BL,18,10,0,1,0,0.0,0,0,0.0,0.0,0.0,26,73000.0,2
4900 PRINCESS ANNE RD,8,10,0,1,0,1.0,0,0,0.0,0.0,0.0,17,20000.0,1
600 ROSEMONT RD S,8,10,0,1,0,1.0,0,0,0.0,0.0,0.0,6,30000.0,1
5800 NORTHAMPTON BL,12,10,0,0,1,0.0,0,0,0.0,0.0,0.0,14,30000.0,1
S ROSEMONT RD,19,10,0,0,0,0.0,0,0,0.0,0.0,0.0,3,30000.0,1
4800 WITCHDUCK RD N,12,10,0,0,1,1.0,0,0,0.0,0.0,0.0,3,5100.0,0
4600 VIRGINIA BEACH BL,19,10,0,0,0,1.0,0,0,0.0,2.0,0.0,6,30000.0,1
100 ROSEMONT RD S,12,10,0,0,1,1.0,0,0,2.0,0.0,1.0,8,30000.0,1
5848 NORTHAMPTON BL,17,10,0,1,0,1.0,0,0,0.0,0.0,0.0,1,30000.0,1
5100 VIRGINIA BEACH BL,15,10,0,0,0,0.0,0,0,0.0,0.0,0.0,10,30000.0,1
4700 BROAD ST,17,10,0,1,0,0.0,0,0,0.0,0.0,0.0,1,3000.0,0
300 ARAGONA BL,17,10,0,1,0,1.0,0,0,0.0,1.0,0.0,2,5300.0,0
4700 FIRST CT RD,18,10,0,1,0,0.0,0,0,0.0,2.0,0.0,2,8400.0,0
1400 GENERAL BOOTH BL,7,10,0,1,0,0.0,0,0,0.0,0.0,0.0,2,46000.0,2
2200 GENERAL BOOTH BL,9,10,0,1,0,0.0,0,0,0.0,0.0,0.0,3,46000.0,2
4100 DAM NECK RD,8,10,0,1,0,1.0,1,0,0.0,0.0,0.0,1,36000.0,1
5000 FERRELL PW,15,10,0,0,0,0.0,0,0,0.0,0.0,0.0,23,43000.0,2
3500 BUCKNER BLVD,20,9,1,0,0,1.0,0,0,0.0,2.0,0.0,1,30000.0,1
1700 LYNNHAVEN PW,20,10,1,0,0,0.0,0,0,0.0,1.0,0.0,4,46000.0,2
5000 FERRELL PW,2,10,1,0,1,1.0,0,0,2.0,2.0,1.0,23,43000.0,2
717 S MILITARY HIGHWAY,19,9,0,0,1,0.0,0,0,0.0,2.0,0.0,1,11000.0,0
5000 FERRELL PW,21,10,1,0,1,1.0,0,0,2.0,2.0,1.0,23,43000.0,2
4500 BLK PLEASANT VALLEY RD,15,10,0,0,0,1.0,0,0,0.0,0.0,0.0,1,4100.0,0
3800 HOLLAND RD,18,10,0,1,0,0.0,0,0,0.0,2.0,0.0,6,36000.0,1
5000 FERRELL PW,20,10,1,0,0,1.0,0,0,0.0,1.0,0.0,23,43000.0,2
4300 VIRGINIA BEACH BL,19,10,0,0,0,1.0,0,0,0.0,2.0,0.0,5,30000.0,1
900 VIRGINIA BEACH BL,21,10,1,0,0,1.0,1,0,0.0,2.0,0.0,2,30000.0,1
4500 VIRGINIA BEACH BL,12,10,0,0,0,1.0,0,0,0.0,0.0,0.0,10,30000.0,1
BOW CREEK BL,22,10,1,0,0,1.0,0,0,2.0,2.0,1.0,2,5500.0,0
VIRGINIA BEACH BL,7,10,0,1,0,1.0,0,0,0.0,0.0,0.0,57,30000.0,1
4600 SHORE DR,18,10,0,1,0,1.0,0,0,0.0,0.0,0.0,3,5000.0,0
2800 HOLLAND ROAD,20,10,1,0,1,0.0,0,0,0.0,2.0,0.0,1,36000.0,1
200 19 TH STREET,15,10,0,0,1,0.0,0,0,0.0,0.0,0.0,1,16000.0,0
600 VIRGINIA BEACH BL,20,10,1,0,0,1.0,0,0,0.0,2.0,0.0,2,30000.0,1
1116 EAGLEWOOD DR,19,10,0,0,1,1.0,0,0,0.0,2.0,0.0,1,20000.0,1
VIRGINIA BEACH BLVD,6,10,0,0,0,1.0,0,0,0.0,1.0,0.0,21,30000.0,1
4700 COLUMBUS ST,18,10,0,1,0,1.0,0,0,0.0,0.0,0.0,3,15000.0,0
5425 VIRGINIA BEACH BL,15,9,0,0,0,1.0,0,0,0.0,0.0,0.0,1,30000.0,1
1300 DIAMOND SPRINGS RD,14,10,0,0,1,1.0,0,0,0.0,0.0,0.0,6,22000.0,1
2597 VIRGINIA BEACH BL,15,10,0,0,0,0.0,0,0,0.0,0.0,0.0,1,30000.0,1
4500 SHORE DR,20,10,1,0,0,1.0,0,0,0.0,2.0,0.0,10,5000.0,0
GREAT NECK RD N,10,10,0,0,0,1.0,1,0,0.0,0.0,0.0,26,39000.0,2
2400 SHOREHAVEN DR,11,10,0,0,0,0.0,1,0,0.0,0.0,0.0,2,20000.0,1
1100 FIRST COLONIAL RD,8,9,0,1,0,1.0,0,0,0.0,0.0,0.0,5,36000.0,1
700 INDEPENDENCE BL,19,10,0,0,0,1.0,0,0,0.0,2.0,0.0,7,73000.0,2
800 DIAMOND SPRINGS RD,16,10,0,1,0,1.0,0,0,0.0,0.0,0.0,7,22000.0,1
22ND ST,16,10,0,1,1,1.0,0,0,0.0,0.0,0.0,14,13000.0,0
VIRGINIA BEACH BLVD,19,10,0,0,1,1.0,0,0,0.0,2.0,0.0,21,30000.0,1
PERIDOT DR,12,10,0,0,1,0.0,0,0,0.0,0.0,0.0,1,9600.0,0
1100 LYNNHAVEN PW,6,10,0,0,0,1.0,0,0,0.0,2.0,0.0,2,46000.0,2
800 S MILITARY HWY,15,7,0,0,0,0.0,0,0,0.0,0.0,0.0,1,11000.0,0
1400 S INDEPENDENCE BLVD,11,8,0,0,0,1.0,0,0,0.0,0.0,0.0,1,73000.0,2
2200 CHICKEN VALLEY RD,18,8,0,1,1,1.0,0,0,2.0,0.0,1.0,1,530.0,0
2100 FIRST COLONIAL RD,18,8,0,1,0,1.0,0,0,0.0,0.0,0.0,5,36000.0,1
3400 VIRGINIA BEACH BL,21,8,1,0,1,1.0,0,0,0.0,2.0,0.0,7,30000.0,1
2800 SHORE DR,1,8,1,0,0,1.0,0,0,0.0,2.0,0.0,5,5000.0,0
