OBJECTID,EVENT_SOURCE_ID,DATA_DATE,ROUTE_COMMON_NAME,ROUTE_NAME,HTRIS_ID,ROUTE_ALIAS,START_LABEL,END_LABEL,ADT,ADT_QUALITY,PERCENT_4_TIRE,PERCENT_BUS,PERCENT_TRUCK_2_AXLE,PERCENT_TRUCK_3_AXLE,PERCENT_TRUCK_1_TRAIL,PERCENT_TRUCK_2_TRAIL,CLASS_QUALITY_CODE,K_FACTOR,K_FACTOR_QUALITY_CODE,DIRECTION_FACTOR,AAWDT,AAWDT_QUALITY_CODE,LOC_COMP_DIRECTIONALITY_NAME,ROUTE_FROM_MEASURE,FROM_JURISDICTION,ROUTE_TO_MEASURE,TO_JURISDICTION,PEAK_SINGLE_UNIT_TRUCK,PEAK_COMBINATION_TRUCK,EVENT_LOCATION_ID,EVENT_COMPONENT_ID,MAXIMUMSCALEDENOMINATOR,ROUTE_COMMON_NAME_ADT,FROM_DISTRICT,TO_DISTRICT,RTE_TYPE_CD,RTE_ID,Shape__Length
283,782163,2022/12/08 00:00:00+00,SC-2212E (Augusta County),R-VA007SC02212EB,702212,          ,07-2214 Teaberry Ct,Cul-de-Sac,70,T,,,,,,,X,,X,,,X,Bidirectional,0.37,Augusta County,0.7,Augusta County,,,1,1,24000,SC-2212E (Augusta County) - ADT 70,Staunton,Staunton,SC,1951906,719.2539642
284,791497,2016/07/19 00:00:00+00,SC-5860E (Chesterfield County),R-VA020SC05860EB,2005860,          ,20-5859 Post Mill Dr,20-5744 Riverdowns South Dr,100,R,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.2,Chesterfield County,,,1,1,24000,SC-5860E (Chesterfield County) - ADT 100,Richmond,Richmond,SC,2526638,394.310363
285,602089,2024/01/01 00:00:00+00,West ST (PR - City of Alexandria),S-VA100PR WEST ST,,          ,Duke St,Wythe St,5500,F,97.01567,1.3245,1.33289,0.25987,0.06706,0,C,0.1061,F,0.7614,6000,X,Bidirectional,0.1,City of Alexandria,0.82,City of Alexandria,0.1931,0,1,1,24000,West ST (PR - City of Alexandria) - ADT 5500,Northern Virginia,Northern Virginia,ST,9066711,1484.499924
286,720149,2023/09/26 00:00:00+00,SC-759N (Culpeper County),R-VA023SC00759NB,2300759,          ,23-643 North Merrimac Rd,Dead End,70,T,,,,,,,X,,X,,,X,Bidirectional,0,Culpeper County,0.08,Culpeper County,,,1,1,24000,SC-759N (Culpeper County) - ADT 70,Culpeper,Culpeper,SC,1859008,375.5530193
287,716743,2018/06/11 00:00:00+00,SC-3165N (Chesterfield County),R-VA020SC03165NB,2003165,          ,20-3169 Brambleton Rd,20-3168 Hallmark Terrace,80,R,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.07,Chesterfield County,,,1,1,24000,SC-3165N (Chesterfield County) - ADT 80,Richmond,Richmond,SC,2169601,150.5332219
288,705068,2013/06/12 00:00:00+00,SC-1321N (Augusta County),R-VA007SC01321NB,701321,          ,07-1322 Cobblestone Court,Cul-de-Sac,100,R,,,,,,,X,,X,,,X,Bidirectional,0.06,Augusta County,0.19,Augusta County,,,1,1,24000,SC-1321N (Augusta County) - ADT 100,Staunton,Staunton,SC,1379193,252.8141152
292,779253,2019/06/04 00:00:00+00,SC-780N (York County),R-VA099SC00780NB,9900780,          ,99-781 Brook Run,Cul-de-Sac,270,R,,,,,,,X,,X,,,X,Bidirectional,0.17,York County,0.38,York County,,,1,1,24000,SC-780N (York County) - ADT 270,Hampton Roads,Hampton Roads,SC,2145948,451.9764838
293,792586,2022/02/15 00:00:00+00,SC-1872E (York County),R-VA099SC01872EB,9901872,          ,99-1702 Holmes Blvd,Cul-de-Sac,220,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.1,York County,,,1,1,24000,SC-1872E (York County) - ADT 220,Hampton Roads,Hampton Roads,SC,2250368,198.1454448
294,731219,2023/01/05 00:00:00+00,SC-5094N (Fairfax County),R-VA029SC05094NB,2905094,          ,29-5093 Walker Mill Rd,Cul-de-Sac,30,T,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.07,Fairfax County,,,1,1,24000,SC-5094N (Fairfax County) - ADT 30,Northern Virginia,Northern Virginia,SC,1425178,125.2874536
295,720234,2023/08/15 00:00:00+00,SC-1049E (Culpeper County),R-VA023SC01049EB,2301049,          ,Cul-de-Sac,23-625 Mt Zion Church Rd,80,T,,,,,,,X,,X,,,X,Bidirectional,0,Culpeper County,0.16,Culpeper County,,,1,1,24000,SC-1049E (Culpeper County) - ADT 80,Culpeper,Culpeper,SC,1626338,336.6356344
296,796619,2018/08/07 00:00:00+00,SC-5953N (Chesterfield County),R-VA020SC05953NB,2005953,          ,Cul-de-Sac,20-5954 Bailey Wood Terrace,170,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.14,Chesterfield County,,,1,1,24000,SC-5953N (Chesterfield County) - ADT 170,Richmond,Richmond,SC,2172915,283.1251127
297,705110,2013/06/12 00:00:00+00,SC-1393N (Augusta County),R-VA007SC01393NB,701393,          ,Cul-de-Sac,07-1392 Johns Valley Dr,70,R,,,,,,,X,,X,,,X,Bidirectional,0,Augusta County,0.04,Augusta County,,,1,1,24000,SC-1393N (Augusta County) - ADT 70,Staunton,Staunton,SC,1953050,62.27699479
299,788389,2012/05/02 00:00:00+00,Hermitage BLVD (PR - Town of Berryville),S-VA168PR HERMITAGE BLVD,44444,          ,SR 7,US 340 Lord Fairfax Hwy,1400,R,,,,,,,X,0.1137,F,0.5877,,X,Bidirectional,0,Town of Berryville,0.956,Town of Berryville,0.10006,0,1,1,24000,Hermitage BLVD (PR - Town of Berryville) - ADT 1400,Staunton,Staunton,ST,9242811,2020.233563
300,754142,2024/01/01 00:00:00+00,SC-821N (Montgomery County),R-VA060SC00821NB,6000821,          ,60-636 Friendship Rd; Harkrader St,"60-603, N Fork Rd",230,G,96.78111,3.00429,0.21459,0,0,0,C,0.1394,F,0.5429,230,G,Bidirectional,0,Montgomery County,1.75,Montgomery County,0,0,1,1,24000,SC-821N (Montgomery County) - ADT 230,Salem,Salem,SC,2221564,3446.283686
301,771016,2011/08/31 00:00:00+00,SC-1305N (Shenandoah County),R-VA085SC01305NB,8501305,          ,85-1326 Wunder St,85-1332 Swan Dr,150,R,,,,,,,X,,X,,,X,Bidirectional,0.13,Shenandoah County,0.18,Shenandoah County,,,1,1,24000,SC-1305N (Shenandoah County) - ADT 150,Staunton,Staunton,SC,1668641,123.5668806
302,748342,2021/12/02 00:00:00+00,SC-655N (King and Queen County),R-VA049SC00655NB,4900655,          ,Dead End,49-681 Allens Circle,110,R,,,,,,,X,,X,,,X,Bidirectional,0,King and Queen County,1,King and Queen County,,,1,1,24000,SC-655N (King and Queen County) - ADT 110,Fredericksburg,Fredericksburg,SC,1633647,1873.755096
303,677851,2024/01/01 00:00:00+00,London Bridge RD (NP - City of Virginia Beach),S-VA134NP LONDON BRIDGE RD,28354,          ,International Pkwy,Drakesville Rd,27000,F,96.32272,0.59511,1.39182,0.78508,0.90526,0,F,0.0984,F,0.6074,30000,X,Master Non-Prime,2.42,City of Virginia Beach,3.79,City of Virginia Beach,0.12595,0.0492,1,2,24000,London Bridge RD (NP - City of Virginia Beach) - ADT 27000,Hampton Roads,,ST,9218540,2721.118517
304,779386,2022/02/15 00:00:00+00,SC-1190W (York County),R-VA099SC01190WB,  9901190W    ,          ,99-1191 Sir John Way,99-622 Seaford Rd,1700,R,,,,,,,X,,X,,,X,Master Non-Prime,0.3,York County,0.41,York County,,,1,2,24000,SC-1190W (York County) - ADT 1700,Hampton Roads,Hampton Roads,SC,2386537,224.8284802
305,707161,2022/11/08 00:00:00+00,SC-771E (Botetourt County),R-VA011SC00771EB,1100771,          ,"11-657 S, Rainbow Forest Dr",11-1406 Dawnridge Lane,260,R,,,,,,,X,,X,,,X,Bidirectional,0.96,Botetourt County,1.03,Botetourt County,,,1,1,24000,SC-771E (Botetourt County) - ADT 260,Salem,Salem,SC,1954124,140.2304892
306,786166,2023/09/26 00:00:00+00,SC-1085E (Culpeper County),R-VA023SC01085EB,2301085,          ,23-1083 Somerset Dr,Dead End,140,T,,,,,,,X,,X,,,X,Bidirectional,0,Culpeper County,0.2,Culpeper County,,,1,1,24000,SC-1085E (Culpeper County) - ADT 140,Culpeper,Culpeper,SC,1626389,390.9699403
307,712757,2018/11/15 00:00:00+00,SC-1446E (Chesterfield County),R-VA020SC01446EB,2001446,          ,20-1466 Ashwood Rd,20-1462 Proctors Rd,190,R,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.15,Chesterfield County,,,1,1,24000,SC-1446E (Chesterfield County) - ADT 190,Richmond,Richmond,SC,2168071,316.4639187
309,794740,2016/07/26 00:00:00+00,SC-7233N (Chesterfield County),R-VA020SC07233NB,2007233,          ,20-7241 Silverdust Lane,20-7231 Cypress Vine Dr,120,R,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.22,Chesterfield County,,,1,1,24000,SC-7233N (Chesterfield County) - ADT 120,Richmond,Richmond,SC,2548883,471.9645359
310,706977,2022/11/08 00:00:00+00,SC-657N (Botetourt County),R-VA011SC00657NB,1100657,          ,"11-771 S, Lakeridge Circle",11-658 Laymantown Rd,680,R,,,,,,,X,,X,,,X,Bidirectional,0,Botetourt County,0.61,Botetourt County,,,1,1,24000,SC-657N (Botetourt County) - ADT 680,Salem,Salem,SC,2162822,1150.459651
311,707538,2019/05/02 00:00:00+00,SC-1480N (Botetourt County),R-VA011SC01480NB,1101480,          ,11-1481 Coachman Place,Cul-de-Sac,170,T,,,,,,,X,,X,,,X,Bidirectional,0.17,Botetourt County,0.35,Botetourt County,,,1,1,24000,SC-1480N (Botetourt County) - ADT 170,Salem,Salem,SC,1613300,350.3285052
312,775995,2024/03/06 00:00:00+00,SC-754N (Tazewell County),R-VA092SC00754NB,9200754,          ,92-1410 Roma Rd,92-680 Irson Rd,150,R,,,,,,,X,,X,,,X,Bidirectional,0.55,Tazewell County,0.87,Tazewell County,,,1,1,24000,SC-754N (Tazewell County) - ADT 150,Bristol,Bristol,SC,1464649,642.6154346
313,779495,2022/02/08 00:00:00+00,SC-1240E (York County),R-VA099SC01240EB,9901240,          ,Cul-de-Sac,99-1235 Moss Ave,70,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.1,York County,,,1,1,24000,SC-1240E (York County) - ADT 70,Hampton Roads,Hampton Roads,SC,1596072,205.9150851
314,705018,2022/11/28 00:00:00+00,SC-1206N (Augusta County),R-VA007SC01206NB,701206,          ,US 11 Lee Jackson Hwy,07-1204 Blacksmith Shop Rd,170,T,,,,,,,X,,X,,,X,Bidirectional,0.02,Augusta County,0.17,Augusta County,,,1,1,24000,SC-1206N (Augusta County) - ADT 170,Staunton,Staunton,SC,1952973,302.0556067
315,729898,2003/12/17 00:00:00+00,SC-4407E (Fairfax County),R-VA029SC04407EB,2904407,          ,Cul-de-Sac,29-4408 Glen Rose St,130,R,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.11,Fairfax County,,,1,1,24000,SC-4407E (Fairfax County) - ADT 130,Northern Virginia,Northern Virginia,SC,2087430,204.3841592
316,720214,2014/08/27 00:00:00+00,SC-1020N (Culpeper County),R-VA023SC01020NB,2301020,          ,23-1021 Crestview Place,23-643 North Merrimac Rd,90,R,,,,,,,X,,X,,,X,Bidirectional,0,Culpeper County,0.11,Culpeper County,,,1,1,24000,SC-1020N (Culpeper County) - ADT 90,Culpeper,Culpeper,SC,1966124,216.9116015
317,753891,2019/01/10 00:00:00+00,SC-626E (Montgomery County),R-VA060SC00626EB,6000626,          ,"60-740 W, Wells St",US 11; US 460,390,R,,,,,,,X,,X,,,X,Bidirectional,0.67,Montgomery County,1.72,Montgomery County,,,1,1,24000,SC-626E (Montgomery County) - ADT 390,Salem,Salem,SC,1563283,2043.032301
318,727028,2016/11/02 00:00:00+00,SC-2936N (Fairfax County),R-VA029SC02936NB,2902936,          ,29-2933 Vellex Lane,29-2933 Vellex Lane,40,R,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.14,Fairfax County,,,1,1,24000,SC-2936N (Fairfax County) - ADT 40,Northern Virginia,Northern Virginia,SC,2089489,293.8308647
319,715862,2018/06/11 00:00:00+00,SC-2718N (Chesterfield County),R-VA020SC02718NB,2002718,          ,20-2618 Marwood Dr,20-2719 Old Log Terrace,1000,R,,,,,,,X,,X,,,X,Bidirectional,0.25,Chesterfield County,0.32,Chesterfield County,,,1,1,24000,SC-2718N (Chesterfield County) - ADT 1000,Richmond,Richmond,SC,1389444,134.319131
320,783799,2014/10/16 00:00:00+00,SC-2464N (Fairfax County),R-VA029SC02464NB,2902464,          ,Cul-de-Sac,Spicewood Ct,45,T,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.02,Fairfax County,,,1,1,24000,SC-2464N (Fairfax County) - ADT 45,Northern Virginia,Northern Virginia,SC,2087328,45.74000663
321,712857,2018/06/11 00:00:00+00,SC-1491E (Chesterfield County),R-VA020SC01491EB,2001491,          ,20-1494 Walkerton Ct,20-1493 Rockdale Rd,260,R,,,,,,,X,,X,,,X,Bidirectional,0.16,Chesterfield County,0.41,Chesterfield County,,,1,1,24000,SC-1491E (Chesterfield County) - ADT 260,Richmond,Richmond,SC,2168179,473.4184686
322,654560,2024/01/01 00:00:00+00,Newtown RD (NP - City of Norfolk),S-VA122NP NEWTOWN RD,23772,          ,US 58 Va Beach Blvd,NCL Va Beach,39000,F,98.15514,0.3041,0.85331,0.39624,0.2912,0,F,0.0821,F,0.5247,42000,X,Master Non-Prime,1.591,City of Norfolk,1.79,City of Norfolk,0.15271,0.02053,1,2,24000,Newtown RD (NP - City of Norfolk) - ADT 39000,Hampton Roads,,ST,9126594,330.2425322
323,537022,2024/01/01 00:00:00+00,South AVE (PR - City of Harrisonburg),S-VA115PR SOUTH AVE,,          ,VA 42 High St,.028 mile frm Dogwood Dr S,750,F,98.59842,0.12188,1.09689,0,0.18282,0,C,0.1184,F,0.6381,820,X,Bidirectional,0.51,City of Harrisonburg,0.75,City of Harrisonburg,0.22496,0,1,1,24000,South AVE (PR - City of Harrisonburg) - ADT 750,Staunton,Staunton,ST,9108861,533.0410552
325,776417,2017/08/11 00:00:00+00,SC-670E (Warren County),R-VA093SC00670EB,9300670,          ,Dead End,93-737,70,R,,,,,,,X,,X,,,X,Bidirectional,0,Warren County,0.6,Warren County,,,1,1,24000,SC-670E (Warren County) - ADT 70,Staunton,Staunton,SC,1710316,1345.199148
326,779242,2019/07/16 00:00:00+00,SC-773E (York County),R-VA099SC00773EB,9900773,          ,Dead End,99-621 Dare Rd,60,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.1,York County,,,1,1,24000,SC-773E (York County) - ADT 60,Hampton Roads,Hampton Roads,SC,2145932,186.8786747
327,779264,2019/02/06 00:00:00+00,SC-787E (York County),R-VA099SC00787EB,9900787,          ,99-672 Crockett Rd,"99-622 E, Seaford Rd",270,R,,,,,,,X,,X,,,X,Bidirectional,0.21,York County,0.33,York County,,,1,1,24000,SC-787E (York County) - ADT 270,Hampton Roads,Hampton Roads,SC,1939873,227.441393
329,717369,2016/09/14 00:00:00+00,SC-3530E (Chesterfield County),R-VA020SC03530EB,2003530,          ,20-609 Old Centralia Rd,20-3531; 20-3536 Timonium Dr Chagford Dr,2200,R,,,,,,,X,0.1074,F,0.5871,,X,Bidirectional,0,Chesterfield County,0.16,Chesterfield County,0.08162,0.12244,1,1,24000,SC-3530E (Chesterfield County) - ADT 2200,Richmond,Richmond,SC,2170512,334.351363
330,731873,2001/08/13 00:00:00+00,SC-5423N (Fairfax County),R-VA029SC05423NB,2905423,          ,29-5435 Lewisham Rd,Cul-de-Sac,90,R,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.04,Fairfax County,,,1,1,24000,SC-5423N (Fairfax County) - ADT 90,Northern Virginia,Northern Virginia,SC,1426731,58.80074476
331,794732,2021/11/10 00:00:00+00,SC-7220E (Chesterfield County),R-VA020SC07220EB,2007220,          ,Cul-de-Sac,20-5921 Springmont Rd,110,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.07,Chesterfield County,,,1,1,24000,SC-7220E (Chesterfield County) - ADT 110,Richmond,Richmond,SC,2520940,140.9742488
332,718092,2018/07/03 00:00:00+00,SC-3998N (Chesterfield County),R-VA020SC03998NB,2003998,          ,Cul-de-Sac,20-3997 Walden Spring Dr,60,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.04,Chesterfield County,,,1,1,24000,SC-3998N (Chesterfield County) - ADT 60,Richmond,Richmond,SC,1390452,77.93932145
334,677433,2024/01/01 00:00:00+00,Pembroke BLVD (NP - City of Virginia Beach),S-VA134NP PEMBROKE BLVD,33564,          ,Cathedral Dr,Independence Blvd,3800,F,,,,,,,X,0.0988,F,0.6133,4000,X,Master Non-Prime,0.462,City of Virginia Beach,0.67,City of Virginia Beach,0.09485,0,1,2,24000,Pembroke BLVD (NP - City of Virginia Beach) - ADT 3800,Hampton Roads,Hampton Roads,ST,9219060,433.9671703
335,728405,2019/01/07 00:00:00+00,SC-3613N (Fairfax County),R-VA029SC03613NB,2903613,          ,Cul-de-Sac,29-3090 Port Royal Rd,1500,R,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.13,Fairfax County,,,1,1,24000,SC-3613N (Fairfax County) - ADT 1500,Northern Virginia,Northern Virginia,SC,1428008,245.9138195
336,715854,2018/07/02 00:00:00+00,SC-2713N (Chesterfield County),R-VA020SC02713NB,2002713,          ,20-2567 Bondurant Dr,Cul-de-Sac,30,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.04,Chesterfield County,,,1,1,24000,SC-2713N (Chesterfield County) - ADT 30,Richmond,Richmond,SC,1389421,54.09638431
337,706989,2019/04/02 00:00:00+00,SC-663N (Botetourt County),R-VA011SC00663NB,1100663,          ,Dead End,11-779 Catawba Rd,60,R,,,,,,,X,,X,,,X,Bidirectional,0,Botetourt County,1,Botetourt County,,,1,1,24000,SC-663N (Botetourt County) - ADT 60,Salem,Salem,SC,2162867,1913.797642
338,720210,2023/09/26 00:00:00+00,SC-1013N (Culpeper County),R-VA023SC01013NB,2301013,          ,Dead End,23-1014 Dennis St,20,T,,,,,,,X,,X,,,X,Bidirectional,0,Culpeper County,0.049,Culpeper County,,,1,1,24000,SC-1013N (Culpeper County) - ADT 20,Culpeper,Culpeper,SC,1626317,63.22099184
339,707445,2019/04/18 00:00:00+00,SC-1311N (Botetourt County),R-VA011SC01311NB,1101311,          ,Dead End,11-1307 Boyd St,20,R,,,,,,,X,,X,,,X,Bidirectional,0,Botetourt County,0.02,Botetourt County,,,1,1,24000,SC-1311N (Botetourt County) - ADT 20,Salem,Salem,SC,1846512,37.92995137
340,729917,2015/01/12 00:00:00+00,SC-4418N (Fairfax County),R-VA029SC04418NB,2904418,          ,29-3412 Pr William Dr,29-4419 Prado Pl,660,R,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.05,Fairfax County,,,1,1,24000,SC-4418N (Fairfax County) - ADT 660,Northern Virginia,Northern Virginia,SC,2087447,101.064275
341,726643,2019/12/11 00:00:00+00,SC-2802N (Fairfax County),R-VA029SC02802NB,2902802,          ,29-2807 Lorraine Ave,29-2803 Massachusettes Ave,430,R,,,,,,,X,,X,,,X,Bidirectional,0.18,Fairfax County,0.36,Fairfax County,,,1,1,24000,SC-2802N (Fairfax County) - ADT 430,Northern Virginia,Northern Virginia,SC,1424148,374.1734328
342,753865,2022/05/12 00:00:00+00,SC-613N (Montgomery County),R-VA060SC00613NB,6000613,          ,60-620 Blue Spring Rd,"60-693 E, Graysontown Rd",310,R,,,,,,,X,,X,,,X,Bidirectional,0.6,Montgomery County,1.5,Montgomery County,,,1,1,24000,SC-613N (Montgomery County) - ADT 310,Salem,Salem,SC,1679219,1923.149376
343,779261,2019/02/06 00:00:00+00,SC-787E (York County),R-VA099SC00787EB,9900787,          ,"99-622 W, Seaford Rd",99-1292 August Dr,440,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.02,York County,,,1,1,24000,SC-787E (York County) - ADT 440,Hampton Roads,Hampton Roads,SC,1939873,89.65053679
344,802699,2021/05/04 00:00:00+00,SC-7532N (Chesterfield County),R-VA020SC07532NB,2007532,          ,Cul-de-Sac,20-3577 Hamlin Creek Pkwy,110,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.08,Chesterfield County,,,1,1,24000,SC-7532N (Chesterfield County) - ADT 110,Richmond,Richmond,SC,2662109,157.586567
345,770719,2024/01/01 00:00:00+00,SC-715E (Shenandoah County),R-VA085SC00715EB,8500715,          ,85-709 Buck Hill Rd,85-710 Pleasant View Rd,130,G,95.01916,1.53257,1.14943,1.53257,0.76628,0,C,0.1469,F,0.5238,130,X,Bidirectional,1.5,Shenandoah County,2,Shenandoah County,0,0,1,1,24000,SC-715E (Shenandoah County) - ADT 130,Staunton,Staunton,SC,1667578,1176.31551
346,716804,2018/07/02 00:00:00+00,SC-3199N (Chesterfield County),R-VA020SC03199NB,2003199,          ,Cul-de-Sac,20-3198 Mountain Pine Terrace,130,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.1,Chesterfield County,,,1,1,24000,SC-3199N (Chesterfield County) - ADT 130,Richmond,Richmond,SC,1388203,193.5568121
347,785969,2024/01/01 00:00:00+00,SC-612U Ramp 11B (Augusta County),R-VA007SC00612UK      RMP011.00B,  0700612 011B,          ,07-612 Ramps,I-81 North,1700,G,,,,,,,X,0.0961,F,1,1800,X,Master Prime,0,Augusta County,0.21,Augusta County,,,1,1,24000,SC-612U Ramp 11B (Augusta County) - ADT 1700,Staunton,Staunton,SC,2160196,435.9350696
348,776731,2023/03/01 00:00:00+00,SC-715N (Washington County),R-VA095SC00715NB,9500715,          ,S-VA095PR FISHER HOLLOW RD,"US 58 W, Jeb Stuart Hwy",260,R,,,,,,,X,,X,,,X,Bidirectional,0,Washington County,1.49,Washington County,,,1,1,24000,SC-715N (Washington County) - ADT 260,Bristol,Bristol,SC,1711264,2660.372253
349,748390,2021/08/02 00:00:00+00,SC-1001N (King and Queen County),R-VA049SC01001NB,4901001,          ,Cul-de-Sac,49-1000 River View Dr,80,T,,,,,,,X,,X,,,X,Bidirectional,0,King and Queen County,0.35,King and Queen County,,,1,1,24000,SC-1001N (King and Queen County) - ADT 80,Fredericksburg,Fredericksburg,SC,1866304,676.8345406
350,794914,2014/02/19 00:00:00+00,SC-2417N (Loudoun County),R-VA053SC02417NB,5302417,          ,53-2410 Riverpoint Dr,53-2410 Riverpoint Dr,80,R,,,,,,,X,,X,,,X,Bidirectional,0,Loudoun County,0.38,Loudoun County,,,1,1,24000,SC-2417N (Loudoun County) - ADT 80,Northern Virginia,Northern Virginia,SC,2571865,788.6213547
351,716702,2018/10/01 00:00:00+00,SC-3140E (Chesterfield County),R-VA020SC03140EB,2003140,          ,20-3141 Glenlivet Ct,20-722 Halloway Ave,350,R,,,,,,,X,,X,,,X,Bidirectional,0.15,Chesterfield County,0.22,Chesterfield County,,,1,1,24000,SC-3140E (Chesterfield County) - ADT 350,Richmond,Richmond,SC,1388126,159.8287809
352,706865,2022/10/20 00:00:00+00,SC-617E (Botetourt County),R-VA011SC00617EB,1100617,          ,"11-625 N, Pico Rd",11-627 Red Horse Lane,380,R,,,,,,,X,,X,,,X,Bidirectional,0,Botetourt County,0.75,Botetourt County,,,1,1,24000,SC-617E (Botetourt County) - ADT 380,Salem,Salem,SC,1380017,1484.602315
354,403265,2024/01/01 00:00:00+00,SC-677N (Washington County),R-VA095SC00677NB,9500677,          ,95-902 Farnsworth Rd,95-1810 Eden Lane,2800,G,97.92412,1.27058,0.3937,0.30423,0.10737,0,C,0.1689,F,0.5062,2900,G,Bidirectional,0.17,Washington County,3.01,Washington County,0.24491,0.06925,1,1,24000,SC-677N (Washington County) - ADT 2800,Bristol,Bristol,SC,1711049,5419.131275
357,717286,2021/11/10 00:00:00+00,SC-3482N (Chesterfield County),R-VA020SC03482NB,2003482,          ,20-3483 Copperpenny Ct,Cul-de-Sac,170,T,,,,,,,X,,X,,,X,Bidirectional,0.06,Chesterfield County,0.23,Chesterfield County,,,1,1,24000,SC-3482N (Chesterfield County) - ADT 170,Richmond,Richmond,SC,2171339,329.4443691
359,717562,2021/11/10 00:00:00+00,SC-3624N (Chesterfield County),R-VA020SC03624NB,2003624,          ,Cul-de-Sac,20-3627 Waters Edge Circle,80,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.07,Chesterfield County,,,1,1,24000,SC-3624N (Chesterfield County) - ADT 80,Richmond,Richmond,SC,2170625,116.045909
361,794731,2016/08/23 00:00:00+00,SC-7220E (Chesterfield County),R-VA020SC07220EB,2007220,          ,20-5921 Springmont Rd,20-5938 Scotts Bluff Way,130,R,,,,,,,X,,X,,,X,Bidirectional,0.07,Chesterfield County,0.28,Chesterfield County,,,1,1,24000,SC-7220E (Chesterfield County) - ADT 130,Richmond,Richmond,SC,2520940,453.2567183
362,718475,2018/07/05 00:00:00+00,SC-4289N (Chesterfield County),R-VA020SC04289NB,2004289,          ,20-4292 Corryville Rd,Cul-de-Sac,48,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.05,Chesterfield County,,,1,1,24000,SC-4289N (Chesterfield County) - ADT 48,Richmond,Richmond,SC,1391961,82.57495294
363,720274,2017/01/26 00:00:00+00,SC-1112E (Culpeper County),R-VA023SC01112EB,2301112,          ,23-1104 Rolling Hills Dr,Cul-de-Sac,40,R,,,,,,,X,,X,,,X,Bidirectional,0.06,Culpeper County,0.14,Culpeper County,,,1,1,24000,SC-1112E (Culpeper County) - ADT 40,Culpeper,Culpeper,SC,1859164,159.8031979
364,779547,2022/01/26 00:00:00+00,SC-1265N (York County),R-VA099SC01265NB,9901265,          ,99-1268 Tarpon Dr,99-1269 Cobia Dr,580,R,,,,,,,X,,X,,,X,Bidirectional,0.29,York County,0.43,York County,,,1,1,24000,SC-1265N (York County) - ADT 580,Hampton Roads,Hampton Roads,SC,2248047,249.0014502
365,730696,2001/09/20 00:00:00+00,SC-4818E (Fairfax County),R-VA029SC04818EB,2904818,          ,29-4876 Dundalk St,"29-4801 E, Commonwealth Blvd",500,R,,,,,,,X,,X,,,X,Bidirectional,0.77,Fairfax County,0.91,Fairfax County,,,1,1,24000,SC-4818E (Fairfax County) - ADT 500,Northern Virginia,Northern Virginia,SC,2089753,290.933809
366,754087,2019/02/27 00:00:00+00,SC-769E (Montgomery County),R-VA060SC00769EB,6000769,          ,60-825 Great Valley,Dead End,30,T,,,,,,,X,,X,,,X,Bidirectional,0,Montgomery County,0.25,Montgomery County,,,1,1,24000,SC-769E (Montgomery County) - ADT 30,Salem,Salem,SC,2221515,351.8575735
367,728460,2002/12/16 00:00:00+00,SC-3640E (Fairfax County),R-VA029SC03640EB,2903640,          ,29-3637 Shenandoah St,Cul-de-Sac,70,R,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.05,Fairfax County,,,1,1,24000,SC-3640E (Fairfax County) - ADT 70,Northern Virginia,Northern Virginia,SC,2094206,75.68619635
368,707448,2019/04/18 00:00:00+00,SC-1311N (Botetourt County),R-VA011SC01311NB,1101311,          ,US 11 Main St,11-1305 Lowe,90,R,,,,,,,X,,X,,,X,Bidirectional,0.08,Botetourt County,0.15,Botetourt County,,,1,1,24000,SC-1311N (Botetourt County) - ADT 90,Salem,Salem,SC,1846512,152.862038
