OBJECTID,EVENT_SOURCE_ID,DATA_DATE,ROUTE_COMMON_NAME,ROUTE_NAME,HTRIS_ID,ROUTE_ALIAS,START_LABEL,END_LABEL,ADT,ADT_QUALITY,PERCENT_4_TIRE,PERCENT_BUS,PERCENT_TRUCK_2_AXLE,PERCENT_TRUCK_3_AXLE,PERCENT_TRUCK_1_TRAIL,PERCENT_TRUCK_2_TRAIL,CLASS_QUALITY_CODE,K_FACTOR,K_FACTOR_QUALITY_CODE,DIRECTION_FACTOR,AAWDT,AAWDT_QUALITY_CODE,LOC_COMP_DIRECTIONALITY_NAME,ROUTE_FROM_MEASURE,FROM_JURISDICTION,ROUTE_TO_MEASURE,TO_JURISDICTION,PEAK_SINGLE_UNIT_TRUCK,PEAK_COMBINATION_TRUCK,EVENT_LOCATION_ID,EVENT_COMPONENT_ID,MAXIMUMSCALEDENOMINATOR,ROUTE_COMMON_NAME_ADT,FROM_DISTRICT,TO_DISTRICT,RTE_TYPE_CD,RTE_ID,Shape__Length
100,303714,2024/01/01 00:00:00+00,SC-613N (Warren County),R-VA093SC00613NB,9300613,          ,93-631; 93-649 Browntown Rd,93-738 Jennings Lane,240,G,96.46569,1.8711,1.6632,0,0,0,C,0.109,F,0.5862,240,G,Bidirectional,0,Warren County,3.06,Warren County,0.7521,0,1,1,24000,SC-613N (Warren County) - ADT 240,Staunton,Staunton,SC,1699649,6335.86862
101,770534,2020/07/13 00:00:00+00,SC-652N (Shenandoah County),R-VA085SC00652NB,8500652,          ,85-604 Fairview Rd,"85-600 S, Zepp Rd; Saumsville Rd",250,R,,,,,,,X,,X,,,X,Bidirectional,0.31,Shenandoah County,2.89,Shenandoah County,,,1,1,24000,SC-652N (Shenandoah County) - ADT 250,Staunton,Staunton,SC,1666733,5333.864583
103,742395,2020/06/11 00:00:00+00,SC-615E (Greene County),R-VA039SC00615EB,3900615,          ,39-627 Bacon Hollow Rd,39-810 Dyke Rd,300,R,,,,,,,X,,X,,,X,Bidirectional,0,Greene County,1.93,Greene County,,,1,1,24000,SC-615E (Greene County) - ADT 300,Culpeper,Culpeper,SC,1408382,3892.803328
104,770599,2017/09/22 00:00:00+00,SC-679N (Shenandoah County),R-VA085SC00679NB,8500679,          ,0.03 MN 85-605 E,85-623 Back Rd,40,R,,,,,,,X,,X,,,X,Bidirectional,4.76,Shenandoah County,6.33,Shenandoah County,,,1,1,24000,SC-679N (Shenandoah County) - ADT 40,Staunton,Staunton,SC,1667012,3133.697056
107,704788,2019/06/05 00:00:00+00,SC-868N (Augusta County),R-VA007SC00868NB,700868,          ,Dead End,0.07 MN Dead End,140,R,,,,,,,X,,X,,,X,Bidirectional,0,Augusta County,0.07,Augusta County,,,1,1,24000,SC-868N (Augusta County) - ADT 140,Staunton,Staunton,SC,1952810,137.5642321
109,201385,2024/01/01 00:00:00+00,SC-7766E (Chesterfield County),R-VA020SC07766EB,,          ,20-7692 Chain Tree Pkwy,Hemlock Creek Dr; Ruby Hill Rd,930,F,86.12311,1.56587,4.26566,5.93952,2.10584,0,C,0.1586,F,0.7943,,X,Bidirectional,0,Chesterfield County,0.49,Chesterfield County,1.12447,0.67564,1,1,400000,SC-7766E (Chesterfield County) - ADT 930,Richmond,Richmond,SC,17105520,974.5845029
110,666483,2024/01/01 00:00:00+00,Franklin RD SE (PR - City of Roanoke),S-VA128PR FRANKLIN RD SE,319940,          ,US 221 Williamson Rd; Gap,3rtd St; Tazewell Ave,4900,F,97.65368,0.28156,1.75504,0.28156,0.02816,0,C,0.139,F,0.7453,5300,X,Bidirectional,0.12,City of Roanoke,0.21,City of Roanoke,0.31692,0,1,1,24000,Franklin RD SE (PR - City of Roanoke) - ADT 4900,Salem,Salem,ST,9171075,149.4431172
112,780167,2019/05/01 00:00:00+00,SC-1753E (York County),R-VA099SC01753EB,9901753,          ,99-1756 N Fern Cove CT,99-1757 Jonquil Court,550,R,,,,,,,X,,X,,,X,Bidirectional,0.36,York County,0.44,York County,,,1,1,24000,SC-1753E (York County) - ADT 550,Hampton Roads,Hampton Roads,SC,1598346,147.3155943
113,779908,2022/03/08 00:00:00+00,SC-1581E (York County),R-VA099SC01581EB,9901581,          ,99-1510 Hollywood Blvd,99-1526 W Westwoodland Rd,580,R,,,,,,,X,,X,,,X,Bidirectional,0.19,York County,0.28,York County,,,1,1,24000,SC-1581E (York County) - ADT 580,Hampton Roads,Hampton Roads,SC,1715173,162.5365461
114,742517,2020/07/07 00:00:00+00,SC-1004N (Greene County),R-VA039SC01004NB,3901004,          ,ECL Stanardsville,SR 230 Madison Rd,90,R,,,,,,,X,,X,,,X,Bidirectional,0.07,Greene County,0.17,Greene County,,,1,1,24000,SC-1004N (Greene County) - ADT 90,Culpeper,Culpeper,SC,1639386,219.1244575
